"Altitude (Km)","Geopotential Height (Km)","Temperature (°C)","Pressure (Pa)","Density (Kg m-3) ","Speed of Sound","Gravity Acceleration ","Dynamic
Viscosity (kg m-1 s-1)","Kinematic
Viscosity (m2/s)","Number
Density (m-3)","Particle
Speed (m/s)","Collision
Frequency (s-1)","Mean
free
Path (m)","Thermal
Conductivity (W / m K) ","Mol.
Weight (M)","Pressure
scale
Height (m)"
60,59.4,247.021,22,0.00031,315.07,9.6241,1.58E-05,5.11E-02,6.44E+21,424.93,1.62E+06,2.62E-04,0.022,28.964,7368
65,64.3,233.292,10.9,0.000163,306.19,9.6091,1.51E-05,9.26E-02,3.39E+21,412.95,8.29E+05,4.98E-04,0.0209,28.964,6969
70,69.2,219.585,5.22,8.28E-05,297.06,9.5942,1.44E-05,1.74E-01,1.72E+21,400.64,4.08E+05,9.81E-04,0.0198,28.964,6570
75,74.1,208.399,2.39,3.99E-05,289.4,9.5793,1.38E-05,3.45E-01,8.30E+20,390.3,1.92E+05,2.04E-03,0.0188,28.964,6245
80,79,198.639,1.05,1.85E-05,282.54,9.5644,1.32E-05,7.16E-01,3.84E+20,381.05,8.66E+04,4.40E-03,0.018,28.964,5962
85,83.9,188.893,0.446,8.22E-06,275.52,9.5496,1.26E-05,1.54E+00,1.71E+20,371.59,3.76E+04,9.89E-03,0.0171,28.964,5678
90,88.7,186.867,0.184,3.44E-06,274.04,9.5347,1.25E-05,3.64E+00,7.17E+19,369.96,1.57E+04,2.36E-02,0.017,28.906,5637
95,93.6,188.418,0.0758,1.39E-06,275.17,9.52,1.26E-05,9.10E+00,2.91E+19,372.6,6.41E+03,5.81E-02,0.0171,28.734,5727
100,98.5,195.081,0.032,5.6E-07,280,9.5052,1.3E-05,2.32E+01,1.19E+19,381.36,2.68E+03,1.42E-01,0.0177,28.4,6008
105,103.3,208.835,0.0144,2.33E-07,289.7,9.4905,1.38E-05,5.91E+01,5.04E+18,398.23,1.19E+03,3.35E-01,0.0188,27.881,6562
110,108.1,240,0.00715,9.67E-08,310.56,9.4759,1.55E-05,1.60E+02,2.14E+18,431.69,5.46E+02,7.91E-01,0.0215,27.267,7723
115,113,300,0.004,4.28E-08,347.22,9.4612,1.85E-05,4.31E+02,9.66E+17,487.91,2.79E+02,1.75E+00,0.0263,26.681,9881
120,117.8,360,0.00254,2.22E-08,380.36,9.4466,2.12E-05,9.54E+02,5.10E+17,539.31,1.63E+02,3.31E+00,0.0308,26.205,12091
125,122.6,417.231,0.00174,1.29E-08,409.48,9.4321,2.36E-05,1.82E+03,3.02E+17,585.12,1.04E+02,5.60E+00,0.0349,25.802,14254
130,127.4,469.268,0.00125,8.15E-09,434.27,9.4175,2.56E-05,3.14E+03,1.93E+17,624.97,7.14E+01,8.76E+00,0.0384,25.437,16287
135,132.2,516.589,0.000936,5.46E-09,455.64,9.403,2.73E-05,5.00E+03,1.31E+17,660.25,5.13E+01,1.29E+01,0.0415,25.09,18206
140,137,559.627,0.00072,3.83E-09,474.24,9.3886,2.88E-05,7.52E+03,9.32E+16,691.86,3.82E+01,1.81E+01,0.0442,24.753,20022
145,141.8,598.776,0.000567,2.78E-09,490.54,9.3741,3.01E-05,1.08E+04,6.86E+16,720.48,2.92E+01,2.46E+01,0.0465,24.422,21746
150,146.5,634.392,0.000454,2.08E-09,504.92,9.3597,3.13E-05,1.51E+04,5.19E+16,746.54,2.29E+01,3.26E+01,0.0486,24.1,23383
155,151.3,666.799,0.000369,1.58E-09,517.66,9.3453,3.23E-05,2.04E+04,4.01E+16,770.33,1.83E+01,4.21E+01,0.0505,23.791,24935
160,156.1,696.29,0.000304,1.23E-09,528.98,9.331,3.32E-05,2.69E+04,3.16E+16,792.2,1.48E+01,5.34E+01,0.0522,23.49,26412
165,160.8,723.132,0.000253,9.75E-10,539.08,9.3167,3.4E-05,3.49E+04,2.53E+16,812.49,1.22E+01,6.67E+01,0.0536,23.192,27825
170,165.6,747.566,0.000212,7.82E-10,548.11,9.3024,3.47E-05,4.44E+04,2.06E+16,831.36,1.01E+01,8.22E+01,0.055,22.9,29177
175,170.3,769.811,0.000179,6.34E-10,556.21,9.2882,3.54E-05,5.58E+04,1.69E+16,848.93,8.48E+00,1.00E+02,0.0562,22.616,30470
180,175,790.066,0.000153,5.19E-10,563.48,9.274,3.6E-05,6.92E+04,1.40E+16,865.31,7.17E+00,1.21E+02,0.0572,22.34,31706
185,179.8,808.511,0.000131,4.3E-10,570.02,9.2598,3.65E-05,8.49E+04,1.17E+16,880.65,6.11E+00,1.44E+02,0.0582,22.072,32890
190,184.5,825.312,0.000113,3.58E-10,575.91,9.2457,3.69E-05,1.03E+05,9.89E+15,895.09,5.24E+00,1.71E+02,0.059,21.81,34029
195,189.2,840.616,9.75E-05,3.01E-10,581.22,9.2316,3.74E-05,1.24E+05,8.40E+15,908.74,4.52E+00,2.01E+02,0.0598,21.552,35128
200,193.9,854.559,8.47E-05,2.54E-10,586.02,9.2175,3.77E-05,1.49E+05,7.18E+15,921.65,3.92E+00,2.35E+02,0.0605,21.3,36189
205,198.6,867.264,7.39E-05,2.16E-10,590.36,9.2035,3.81E-05,1.76E+05,6.18E+15,933.84,3.41E+00,2.74E+02,0.0612,21.056,37210
210,203.3,878.842,6.48E-05,1.85E-10,594.29,9.1895,3.84E-05,2.08E+05,5.34E+15,945.37,2.99E+00,3.16E+02,0.0617,20.82,38192
215,208,889.395,5.69E-05,1.58E-10,597.85,9.1755,3.87E-05,2.44E+05,4.64E+15,956.29,2.62E+00,3.64E+02,0.0623,20.591,39139
220,212.6,899.014,5.02E-05,1.37E-10,601.07,9.1615,3.89E-05,2.85E+05,4.04E+15,966.65,2.31E+00,4.18E+02,0.0627,20.37,40053
225,217.3,907.785,4.43E-05,1.18E-10,604,9.1476,3.92E-05,3.31E+05,3.54E+15,976.5,2.04E+00,4.78E+02,0.0632,20.156,40935
230,222,915.782,3.93E-05,1.03E-10,606.65,9.1337,3.94E-05,3.83E+05,3.11E+15,985.87,1.81E+00,5.44E+02,0.0636,19.949,41788
235,226.6,923.075,3.49E-05,8.98E-11,609.06,9.1199,3.96E-05,4.41E+05,2.74E+15,994.78,1.61E+00,6.17E+02,0.0639,19.749,42612
240,231.3,929.726,3.11E-05,7.86E-11,611.26,9.1061,3.97E-05,5.06E+05,2.42E+15,1003.28,1.44E+00,6.98E+02,0.0642,19.556,43408
245,235.9,935.794,2.77E-05,6.9E-11,613.25,9.0923,3.99E-05,5.79E+05,2.14E+15,1011.38,1.28E+00,7.88E+02,0.0645,19.369,44179
250,240.5,941.33,2.48E-05,6.07E-11,615.06,9.0785,4E-05,6.60E+05,1.91E+15,1019.11,1.15E+00,8.87E+02,0.0648,19.19,44925
255,245.2,946.381,2.22E-05,5.36E-11,616.71,9.0648,4.02E-05,7.50E+05,1.70E+15,1026.48,1.03E+00,9.96E+02,0.065,19.017,45646
260,249.8,950.991,1.99E-05,4.74E-11,618.21,9.0511,4.03E-05,8.50E+05,1.52E+15,1033.51,9.27E-01,1.12E+03,0.0653,18.85,46344
265,254.4,955.198,1.79E-05,4.21E-11,619.57,9.0374,4.04E-05,9.60E+05,1.36E+15,1040.23,8.34E-01,1.25E+03,0.0655,18.69,47019
270,259,959.039,1.61E-05,3.74E-11,620.82,9.0238,4.05E-05,1.08E+06,1.21E+15,1046.64,7.52E-01,1.39E+03,0.0656,18.536,47672
275,263.6,962.545,1.45E-05,3.33E-11,621.95,9.0102,4.06E-05,1.22E+06,1.09E+15,1052.76,6.79E-01,1.55E+03,0.0658,18.388,48304
280,268.2,965.746,1.31E-05,2.97E-11,622.98,8.9966,4.07E-05,1.37E+06,9.81E+14,1058.61,6.14E-01,1.72E+03,0.066,18.246,48916
285,272.8,968.67,1.18E-05,2.66E-11,623.93,8.9831,4.07E-05,1.53E+06,8.83E+14,1064.2,5.56E-01,1.91E+03,0.0661,18.109,49509
290,277.3,971.34,1.07E-05,2.38E-11,624.79,8.9696,4.08E-05,1.72E+06,7.97E+14,1069.55,5.04E-01,2.12E+03,0.0662,17.978,50083
295,281.9,973.779,9.68E-06,2.13E-11,625.57,8.9561,4.09E-05,1.92E+06,7.20E+14,1074.68,4.58E-01,2.35E+03,0.0663,17.851,50640
300,286.5,976.008,8.77E-06,1.92E-11,626.28,8.9427,4.09E-05,2.14E+06,6.51E+14,1079.58,4.16E-01,2.60E+03,0.0664,17.73,51181
305,291,978.044,7.96E-06,1.72E-11,626.94,8.9292,4.1E-05,2.38E+06,5.89E+14,1084.28,3.78E-01,2.87E+03,0.0665,17.613,51705
310,295.6,979.904,7.23E-06,1.55E-11,627.53,8.9158,4.1E-05,2.64E+06,5.34E+14,1088.79,3.44E-01,3.16E+03,0.0666,17.501,52214
315,300.1,981.605,6.57E-06,1.4E-11,628.08,8.9025,4.11E-05,2.93E+06,4.85E+14,1093.12,3.13E-01,3.49E+03,0.0667,17.393,52709
320,304.7,983.159,5.97E-06,1.26E-11,628.57,8.8892,4.11E-05,3.25E+06,4.40E+14,1097.27,2.86E-01,3.84E+03,0.0668,17.289,53190
