"Altitude (Km)","Geopotential Height (Km)","Temperature (°C)","Pressure (Pa)","Density (Kg m-3) ","Speed of Sound","Gravity Acceleration ","Dynamic
Viscosity (kg m-1 s-1)","Kinematic
Viscosity (m2/s)","Number
Density (m-3)","Particle
Speed (m/s)","Collision
Frequency (s-1)","Mean
free
Path (m)","Thermal
Conductivity (W / m K) ","Mol.
Weight (M)","Pressure
scale
Height (m)"
475,442,998.837,4.38E-07,7.82E-13,633.57,8.4904,4.15E-05,5.31E+07,3.18E+13,1194.44,2.25E-02,5.32E+04,0.0675,14.823,65988
480,446.3,998.931,4.06E-07,7.21E-13,633.6,8.478,4.15E-05,5.76E+07,2.95E+13,1198.23,2.09E-02,5.73E+04,0.0675,14.731,66504
485,450.6,999.017,3.77E-07,6.64E-13,633.62,8.4656,4.15E-05,6.25E+07,2.73E+13,1202.17,1.95E-02,6.18E+04,0.0675,14.636,67040
490,454.9,999.096,3.5E-07,6.13E-13,633.65,8.4532,4.15E-05,6.77E+07,2.54E+13,1206.28,1.81E-02,6.66E+04,0.0675,14.537,67598
495,459.2,999.169,3.25E-07,5.65E-13,633.67,8.4409,4.15E-05,7.34E+07,2.36E+13,1210.57,1.69E-02,7.17E+04,0.0675,14.435,68179
500,463.5,999.236,3.02E-07,5.21E-13,633.69,8.4286,4.15E-05,7.96E+07,2.19E+13,1215.05,1.58E-02,7.71E+04,0.0675,14.33,68785
505,467.8,999.297,2.81E-07,4.81E-13,633.71,8.4163,4.15E-05,8.62E+07,2.04E+13,1219.74,1.47E-02,8.29E+04,0.0675,14.221,69418
510,472.1,999.353,2.62E-07,4.45E-13,633.73,8.404,4.15E-05,9.34E+07,1.90E+13,1224.64,1.38E-02,8.90E+04,0.0675,14.108,70079
515,476.4,999.405,2.44E-07,4.11E-13,633.75,8.3918,4.15E-05,1.01E+08,1.77E+13,1229.76,1.29E-02,9.56E+04,0.0675,13.992,70769
520,480.7,999.452,2.27E-07,3.79E-13,633.76,8.3796,4.15E-05,1.09E+08,1.65E+13,1235.1,1.20E-02,1.03E+05,0.0675,13.871,71489
525,484.9,999.496,2.12E-07,3.51E-13,633.78,8.3675,4.15E-05,1.18E+08,1.54E+13,1240.67,1.13E-02,1.10E+05,0.0675,13.748,72240
530,489.2,999.536,1.98E-07,3.24E-13,633.79,8.3553,4.15E-05,1.28E+08,1.43E+13,1246.47,1.06E-02,1.18E+05,0.0675,13.621,73024
535,493.5,999.573,1.85E-07,3E-13,633.8,8.3432,4.15E-05,1.38E+08,1.34E+13,1252.51,9.94E-03,1.26E+05,0.0675,13.49,73840
540,497.7,999.607,1.73E-07,2.78E-13,633.81,8.3311,4.15E-05,1.49E+08,1.25E+13,1258.8,9.33E-03,1.35E+05,0.0675,13.356,74691
545,502,999.638,1.62E-07,2.57E-13,633.82,8.319,4.15E-05,1.61E+08,1.17E+13,1265.33,8.78E-03,1.44E+05,0.0675,13.219,75578
550,506.2,999.667,1.51E-07,2.38E-13,633.83,8.307,4.15E-05,1.74E+08,1.10E+13,1272.12,8.26E-03,1.54E+05,0.0675,13.079,76502
555,510.4,999.693,1.42E-07,2.21E-13,633.84,8.295,4.15E-05,1.88E+08,1.03E+13,1279.18,7.79E-03,1.64E+05,0.0675,12.935,77466
560,514.7,999.717,1.33E-07,2.05E-13,633.85,8.283,4.15E-05,2.03E+08,9.64E+12,1286.52,7.34E-03,1.75E+05,0.0675,12.788,78470
565,518.9,999.74,1.25E-07,1.9E-13,633.85,8.271,4.15E-05,2.19E+08,9.05E+12,1294.13,6.93E-03,1.87E+05,0.0675,12.639,79516
570,523.1,999.76,1.17E-07,1.76E-13,633.86,8.2591,4.15E-05,2.36E+08,8.50E+12,1302.04,6.55E-03,1.99E+05,0.0675,12.486,80607
575,527.3,999.779,1.1E-07,1.64E-13,633.87,8.2472,4.15E-05,2.54E+08,7.99E+12,1310.24,6.20E-03,2.11E+05,0.0675,12.33,81744
580,531.5,999.796,1.04E-07,1.52E-13,633.87,8.2353,4.15E-05,2.73E+08,7.52E+12,1318.76,5.87E-03,2.25E+05,0.0675,12.172,82930
585,535.7,999.812,9.77E-08,1.41E-13,633.88,8.2234,4.15E-05,2.94E+08,7.08E+12,1327.6,5.56E-03,2.39E+05,0.0676,12.01,84167
590,539.9,999.827,9.21E-08,1.31E-13,633.88,8.2116,4.15E-05,3.16E+08,6.68E+12,1336.77,5.28E-03,2.53E+05,0.0676,11.846,85457
595,544.1,999.841,8.7E-08,1.22E-13,633.88,8.1998,4.15E-05,3.40E+08,6.30E+12,1346.29,5.02E-03,2.68E+05,0.0676,11.679,86803
600,548.3,999.853,8.21E-08,1.14E-13,633.89,8.188,4.15E-05,3.65E+08,5.95E+12,1356.17,4.77E-03,2.84E+05,0.0676,11.51,88208
605,552.4,999.864,7.77E-08,1.06E-13,633.89,8.1762,4.15E-05,3.92E+08,5.62E+12,1366.42,4.55E-03,3.01E+05,0.0676,11.338,89675
610,556.6,999.875,7.35E-08,9.86E-14,633.9,8.1645,4.15E-05,4.21E+08,5.32E+12,1377.04,4.34E-03,3.18E+05,0.0676,11.164,91206
615,560.7,999.885,6.96E-08,9.19E-14,633.9,8.1528,4.15E-05,4.52E+08,5.04E+12,1388.04,4.14E-03,3.35E+05,0.0676,10.988,92802
620,564.9,999.894,6.6E-08,8.57E-14,633.9,8.1411,4.15E-05,4.84E+08,4.77E+12,1399.41,3.96E-03,3.54E+05,0.0676,10.81,94464
625,569.1,999.902,6.26E-08,8E-14,633.9,8.1295,4.15E-05,5.19E+08,4.53E+12,1411.15,3.78E-03,3.73E+05,0.0676,10.631,96193
630,573.2,999.91,5.95E-08,7.47E-14,633.91,8.1178,4.15E-05,5.56E+08,4.30E+12,1423.26,3.63E-03,3.93E+05,0.0676,10.451,97991
635,577.3,999.917,5.66E-08,6.98E-14,633.91,8.1062,4.15E-05,5.95E+08,4.09E+12,1435.73,3.48E-03,4.13E+05,0.0676,10.27,99859
640,581.5,999.923,5.39E-08,6.52E-14,633.91,8.0947,4.15E-05,6.37E+08,3.89E+12,1448.56,3.34E-03,4.34E+05,0.0676,10.089,101797
645,585.6,999.929,5.13E-08,6.1E-14,633.91,8.0831,4.15E-05,6.80E+08,3.71E+12,1461.75,3.21E-03,4.56E+05,0.0676,9.908,103807
650,589.7,999.934,4.89E-08,5.71E-14,633.91,8.0716,4.15E-05,7.27E+08,3.54E+12,1475.28,3.09E-03,4.78E+05,0.0676,9.727,105890
655,593.8,999.939,4.67E-08,5.35E-14,633.92,8.0601,4.15E-05,7.76E+08,3.37E+12,1489.16,2.97E-03,5.01E+05,0.0676,9.547,108045
660,597.9,999.944,4.46E-08,5.01E-14,633.92,8.0486,4.15E-05,8.28E+08,3.22E+12,1503.36,2.87E-03,5.24E+05,0.0676,9.367,110273
665,602,999.948,4.26E-08,4.7E-14,633.92,8.0371,4.15E-05,8.83E+08,3.08E+12,1517.88,2.77E-03,5.48E+05,0.0676,9.189,112573
670,606.1,999.952,4.08E-08,4.42E-14,633.92,8.0257,4.15E-05,9.40E+08,2.95E+12,1532.7,2.68E-03,5.73E+05,0.0676,9.012,114946
675,610.2,999.956,3.91E-08,4.15E-14,633.92,8.0143,4.15E-05,1.00E+09,2.83E+12,1547.81,2.59E-03,5.98E+05,0.0676,8.837,117390
680,614.3,999.959,3.75E-08,3.9E-14,633.92,8.0029,4.15E-05,1.06E+09,2.71E+12,1563.18,2.51E-03,6.23E+05,0.0676,8.664,119903
685,618.4,999.962,3.59E-08,3.67E-14,633.92,7.9915,4.15E-05,1.13E+09,2.60E+12,1578.79,2.43E-03,6.50E+05,0.0676,8.494,122484
690,622.4,999.965,3.45E-08,3.45E-14,633.92,7.9802,4.15E-05,1.20E+09,2.50E+12,1594.62,2.36E-03,6.76E+05,0.0676,8.326,125130
695,626.5,999.968,3.32E-08,3.26E-14,633.93,7.9689,4.15E-05,1.28E+09,2.40E+12,1610.63,2.29E-03,7.03E+05,0.0676,8.161,127836
700,630.6,999.97,3.19E-08,3.07E-14,633.93,7.9576,4.15E-05,1.35E+09,2.31E+12,1626.79,2.23E-03,7.31E+05,0.0676,8,130600
705,634.6,999.973,3.07E-08,2.9E-14,633.93,7.9463,4.15E-05,1.43E+09,2.23E+12,1643.07,2.16E-03,7.59E+05,0.0676,7.842,133415
710,638.7,999.975,2.96E-08,2.74E-14,633.93,7.9351,4.15E-05,1.52E+09,2.14E+12,1659.45,2.11E-03,7.88E+05,0.0676,7.688,136282
715,642.7,999.977,2.85E-08,2.59E-14,633.93,7.9239,4.15E-05,1.60E+09,2.07E+12,1675.93,2.05E-03,8.17E+05,0.0676,7.538,139198
720,646.7,999.978,2.75E-08,2.45E-14,633.93,7.9127,4.15E-05,1.70E+09,2.00E+12,1692.48,2.00E-03,8.47E+05,0.0676,7.391,142162
725,650.8,999.98,2.66E-08,2.32E-14,633.93,7.9015,4.15E-05,1.79E+09,1.93E+12,1709.1,1.95E-03,8.77E+05,0.0676,7.248,145173
730,654.8,999.982,2.57E-08,2.2E-14,633.93,7.8904,4.15E-05,1.89E+09,1.86E+12,1725.78,1.90E-03,9.07E+05,0.0676,7.109,148229
735,658.8,999.983,2.49E-08,2.09E-14,633.93,7.8792,4.15E-05,1.99E+09,1.80E+12,1742.5,1.86E-03,9.38E+05,0.0676,6.973,151328
740,662.8,999.984,2.41E-08,1.98E-14,633.93,7.8681,4.15E-05,2.10E+09,1.74E+12,1759.24,1.82E-03,9.69E+05,0.0676,6.841,154468
745,666.8,999.985,2.33E-08,1.88E-14,633.93,7.8571,4.15E-05,2.21E+09,1.69E+12,1775.99,1.78E-03,1.00E+06,0.0676,6.712,157646
750,670.8,999.986,2.26E-08,1.79E-14,633.93,7.846,4.15E-05,2.32E+09,1.64E+12,1792.73,1.74E-03,1.03E+06,0.0676,6.588,160858
755,674.8,999.987,2.19E-08,1.7E-14,633.93,7.835,4.15E-05,2.44E+09,1.59E+12,1809.45,1.70E-03,1.06E+06,0.0676,6.466,164102
760,678.8,999.988,2.13E-08,1.62E-14,633.93,7.824,4.15E-05,2.56E+09,1.54E+12,1826.12,1.66E-03,1.10E+06,0.0676,6.349,167374
765,682.8,999.989,2.06E-08,1.55E-14,633.93,7.813,4.15E-05,2.68E+09,1.49E+12,1842.71,1.63E-03,1.13E+06,0.0676,6.235,170670
770,686.8,999.99,2.01E-08,1.48E-14,633.93,7.802,4.15E-05,2.81E+09,1.45E+12,1859.22,1.60E-03,1.16E+06,0.0676,6.125,173985
775,690.8,999.991,1.95E-08,1.41E-14,633.93,7.7911,4.15E-05,2.94E+09,1.41E+12,1875.61,1.57E-03,1.20E+06,0.0676,6.018,177315
780,694.8,999.992,1.9E-08,1.35E-14,633.93,7.7802,4.15E-05,3.08E+09,1.37E+12,1891.86,1.54E-03,1.23E+06,0.0676,5.915,180654
785,698.7,999.992,1.84E-08,1.29E-14,633.93,7.7693,4.15E-05,3.22E+09,1.34E+12,1907.94,1.51E-03,1.26E+06,0.0676,5.816,183996
790,702.7,999.993,1.8E-08,1.24E-14,633.93,7.7584,4.15E-05,3.36E+09,1.30E+12,1923.83,1.48E-03,1.30E+06,0.0676,5.72,187335
795,706.6,999.993,1.75E-08,1.18E-14,633.93,7.7476,4.15E-05,3.51E+09,1.27E+12,1939.5,1.45E-03,1.33E+06,0.0676,5.628,190665
800,710.6,999.994,1.7E-08,1.14E-14,633.93,7.7368,4.15E-05,3.66E+09,1.23E+12,1954.91,1.43E-03,1.37E+06,0.0676,5.54,193979
805,714.5,999.994,1.66E-08,1.09E-14,633.93,7.726,4.15E-05,3.81E+09,1.20E+12,1970.05,1.40E-03,1.40E+06,0.0676,5.455,197270
810,718.5,999.995,1.62E-08,1.05E-14,633.93,7.7152,4.15E-05,3.96E+09,1.17E+12,1984.89,1.38E-03,1.44E+06,0.0676,5.374,200534
815,722.4,999.995,1.58E-08,1.01E-14,633.93,7.7044,4.15E-05,4.12E+09,1.15E+12,1999.43,1.36E-03,1.47E+06,0.0676,5.296,203766
